source,created_at_local,pick_up_latitude,pick_up_longitude,drop_off_latitude,drop_off_longitude,city,fare,pick_up_distance,state
ADR,46:18.0,14.604348,120.998654,14.53737,120.994423,Metro Manila,281.875,0.389894,CANCELLED
T47,51:59.0,14.590099,121.082645,14.508611,121.019444,Metro Manila,413.125,2.20977,COMPLETED
T47,21:24.0,14.582707,121.061458,14.537752,121.001379,Metro Manila,277.5,2.70291,COMPLETED
ADR,53:34.0,14.585812,121.060171,14.575915,121.085487,Metro Manila,220.625,0.321403,CANCELLED
IOS,49:16.0,14.55201,121.05126,14.63021,120.99592,Metro Manila,378.125,0.667067,COMPLETED
T47,26:18.0,14.589394,121.059928,14.444546,120.993874,Metro Manila,505,0.289595,COMPLETED
IOS,27:06.0,14.58645,121.04887,14.63925,121.03681,Metro Manila,229.375,1.54755,COMPLETED
T47,47:03.0,14.588782,121.097317,14.583526,121.05698,Metro Manila,211.875,2.91636,COMPLETED
IOS,37:49.0,14.60688,121.08063,14.61947,121.08618,Metro Manila,163.75,0.854165,COMPLETED
IOS,14:03.0,14.58073,121.05603,14.58568,121.07864,Metro Manila,176.875,0.713984,COMPLETED
T47,09:54.0,14.606341,121.072206,14.65073,121.102855,Metro Manila,255.625,2.13367,COMPLETED
IOS,07:23.0,14.5867,121.06216,14.55264,121.02509,Metro Manila,220.625,0.475091,COMPLETED
IOS,54:56.0,14.52066,121.0136,14.57923,121.024,Metro Manila,238.125,1.97401,COMPLETED
IOS,12:15.0,14.55184,121.02194,14.57944,121.03592,Metro Manila,207.5,0.484101,COMPLETED
IOS,37:21.0,14.55287,121.0471,14.55096,121.0233,Metro Manila,190,0.941629,COMPLETED
IOS,08:12.0,14.5764,121.03972,14.55201,121.05126,Metro Manila,216.25,1.29251,CANCELLED
IOS,30:30.0,14.55585,121.02357,14.55083,121.0542,Metro Manila,203.125,0.227643,COMPLETED
ADR,51:14.0,14.551341,121.016678,14.549732,121.02677,Metro Manila,168.125,0.638074,COMPLETED
IOS,25:21.0,14.55213,121.02282,14.61825,120.98596,Metro Manila,312.5,1.78689,COMPLETED
ADR,50:42.0,14.561096,121.076607,14.592875,121.028582,Metro Manila,255.625,3.42448,CANCELLED
ADR,36:32.0,14.554809,121.047631,14.574944,120.984938,Metro Manila,308.125,0.647543,COMPLETED
IOS,39:33.0,14.57301,121.07686,14.57013,121.04709,Metro Manila,225,2.10955,COMPLETED
IOS,53:27.0,14.58175,121.06103,14.54013,120.99827,Metro Manila,290.625,0.757028,COMPLETED
IOS,24:55.0,14.57034,121.05617,14.58388,121.05693,Metro Manila,176.875,1.00364,COMPLETED
IOS,07:32.0,14.55317,121.02572,14.57751,121.03378,Metro Manila,207.5,0.643453,COMPLETED
IOS,37:28.0,14.54224,121.0264,14.55495,121.01552,Metro Manila,168.125,1.09464,COMPLETED
T47,04:46.0,14.567198,121.092266,14.508611,121.019444,Metro Manila,338.75,2.18035,COMPLETED
T47,14:32.0,14.575374,121.091092,14.554729,121.024445,Metro Manila,273.125,0.407294,CANCELLED
ADR,41:19.0,14.576377,121.085106,14.663866,120.944861,Metro Manila,474.375,3.66117,COMPLETED
IOS,50:16.0,14.5813,121.058,14.60955,121.0468,Metro Manila,211.875,0.700703,COMPLETED
IOS,34:46.0,14.5764,121.085,14.58164,121.05819,Metro Manila,216.25,2.52053,CANCELLED
IOS,27:13.0,14.55083,121.0542,14.66588,121.0894,Metro Manila,382.5,0.576761,CANCELLED
IOS,13:32.0,14.5607,121.02021,14.51955,121.0138,Metro Manila,268.75,0.26669,COMPLETED
T47,05:44.0,14.553006,121.05213,14.608855,121.079789,Metro Manila,255.625,0.701896,COMPLETED
T47,53:51.0,14.582707,121.061458,14.554729,121.024445,Metro Manila,211.875,0.549624,COMPLETED
T47,18:51.0,14.579444,121.035917,14.554729,121.024445,Metro Manila,220.625,3.04088,COMPLETED
IOS,51:12.0,14.61722,121.06307,14.55473,121.02445,Metro Manila,299.375,0.902487,COMPLETED
IOS,52:08.0,14.51955,121.0138,14.58645,121.04887,Metro Manila,334.375,0.930853,COMPLETED
T47,35:53.0,14.554729,121.024445,14.516241,120.985481,Metro Manila,260,1.10699,COMPLETED
IOS,31:52.0,14.55776,121.10373,14.58386,121.05712,Metro Manila,225,0.41597,CANCELLED
T47,12:44.0,14.57127,121.099476,14.508611,121.019444,Metro Manila,373.75,2.08132,COMPLETED
T47,38:38.0,14.681922,121.04211,14.488009,121.04544,Metro Manila,0,,UNALLOCATED
T47,30:48.0,12.879721,121.774017,14.508611,121.019444,Metro Manila,0,,UNALLOCATED
T47,11:27.0,14.576147,121.080195,14.532155,120.983868,Metro Manila,0,,UNALLOCATED
T47,23:09.0,14.569208,121.060157,14.444546,120.993874,Metro Manila,0,,UNALLOCATED
T47,04:26.0,14.556254,121.074355,14.589819,121.069161,Metro Manila,0,,UNALLOCATED
T47,23:46.0,14.604869,121.037924,14.508611,121.019444,Metro Manila,0,,UNALLOCATED
T47,34:53.0,14.549346,121.099429,14.589819,121.069161,Metro Manila,0,,UNALLOCATED
T47,20:24.0,14.557461,121.020717,14.564148,121.030328,Metro Manila,0,,UNALLOCATED
T47,04:57.0,14.630462,121.066474,14.585469,121.05622,Metro Manila,0,,UNALLOCATED
T47,15:30.0,14.587251,121.051652,14.601968,121.049672,Metro Manila,0,,UNALLOCATED
T47,10:39.0,14.541965,121.038975,14.554729,121.024445,Metro Manila,0,,UNALLOCATED
T47,15:53.0,14.638214,121.122688,14.616595,121.077221,Metro Manila,0,,UNALLOCATED
T47,34:32.0,14.586397,121.050083,14.590099,121.082645,Metro Manila,0,,UNALLOCATED
T47,06:34.0,14.702179,121.06821,14.508611,121.019444,Metro Manila,0,,UNALLOCATED
T47,47:34.0,14.580759,121.092371,14.589844,121.060554,Metro Manila,0,,UNALLOCATED
T47,57:56.0,14.589044,121.074982,14.65073,121.102855,Metro Manila,0,,UNALLOCATED
T47,02:06.0,14.58706,121.062085,14.554729,121.024445,Metro Manila,0,,UNALLOCATED
T47,11:25.0,14.572162,121.029725,14.554729,121.024445,Metro Manila,0,,UNALLOCATED
T47,48:59.0,14.586975,121.022829,14.537752,121.001379,Metro Manila,0,,UNALLOCATED
T47,54:01.0,14.567347,121.06652,14.554729,121.024445,Metro Manila,0,,UNALLOCATED
T47,56:27.0,14.53416,121.017742,14.508611,121.019444,Metro Manila,0,,UNALLOCATED
T47,21:42.0,14.553939,121.006272,14.642983,121.043931,Metro Manila,0,,UNALLOCATED
T47,49:57.0,14.417032,121.047617,14.517618,121.050864,Metro Manila,0,,UNALLOCATED
T47,13:13.0,14.59942,121.122571,14.608855,121.079789,Metro Manila,0,,UNALLOCATED
T47,10:55.0,14.585192,121.061324,14.508611,121.019444,Metro Manila,0,,UNALLOCATED
T47,19:13.0,14.554872,121.02034,14.6135,121.034,Metro Manila,0,,UNALLOCATED
T47,57:16.0,14.588416,121.03136,14.580692,121.055368,Metro Manila,0,,UNALLOCATED
T47,43:33.0,14.48096,121.038096,14.508611,121.019444,Metro Manila,0,,UNALLOCATED
T47,45:42.0,14.419502,121.038702,14.417032,121.047617,Metro Manila,0,,UNALLOCATED
T47,31:31.0,14.585383,121.060294,14.508611,121.019444,Metro Manila,0,,UNALLOCATED
T47,16:30.0,14.576876,121.087967,14.608855,121.079789,Metro Manila,0,,UNALLOCATED
T47,17:03.0,14.47931,121.019823,14.734787,121.061207,Metro Manila,0,,UNALLOCATED
VNU,35:15.0,14.549732,121.02677,14.517618,121.050864,Metro Manila,203.125,0.0564028,COMPLETED
ADR,36:10.0,14.526282,121.042728,14.558117,121.016979,Metro Manila,268.75,1.36108,COMPLETED
IOS,06:19.0,14.67002,121.04605,14.55542,121.01563,Metro Manila,456.875,0.560846,COMPLETED
IOS,58:18.0,14.59399,121.10122,14.58386,121.05712,Metro Manila,225,1.31195,COMPLETED
IOS,27:19.0,14.54658,121.03437,14.57702,121.05008,Metro Manila,225,1.0097,COMPLETED
IOS,11:52.0,14.50687,121.00403,14.51955,121.0138,Metro Manila,207.5,0.379175,COMPLETED
ADR,58:23.0,14.484485,120.994899,14.594508,120.977008,Metro Manila,343.125,4.91656,COMPLETED
IOS,49:51.0,14.56351,121.01006,14.58167,120.98442,Metro Manila,229.375,1.42916,CANCELLED
ADR,49:05.0,14.620332,121.067353,14.610421,121.080037,Metro Manila,185.625,0.41653,CANCELLED
ADR,42:07.0,14.599629,121.049253,14.585837,121.059294,Metro Manila,168.125,3.22331,CANCELLED
IOS,53:38.0,14.55648,121.02229,14.55291,120.9801,Metro Manila,220.625,0.142734,COMPLETED
IOS,06:02.0,14.57297,120.98816,14.54985,121.04731,Metro Manila,312.5,2.54063,COMPLETED
IOS,16:41.0,14.66352,121.08412,14.61042,121.08004,Metro Manila,268.75,5.16029,CANCELLED
IOS,37:22.0,14.57301,121.07686,14.5509,121.05358,Metro Manila,216.25,3.32716,CANCELLED
IOS,41:00.0,14.55407,121.04838,14.55,121.03333,Metro Manila,181.25,0.279559,CANCELLED
IOS,35:36.0,14.5622,121.01944,14.58164,121.05819,Metro Manila,207.5,1.76581,COMPLETED
VNU,45:07.0,14.549732,121.02677,14.537751,121.001379,Metro Manila,185.625,0.0958919,COMPLETED
IOS,34:01.0,14.57172,121.04984,14.55666,121.02439,Metro Manila,216.25,1.88311,COMPLETED
IOS,10:22.0,14.57216,121.02972,14.57956,121.04538,Metro Manila,172.5,0.608247,COMPLETED
IOS,15:51.0,14.58584,121.05929,14.55171,121.02727,Metro Manila,216.25,1.62199,CANCELLED
ADR,19:05.0,14.563446,121.038366,14.557376,121.015098,Metro Manila,198.75,2.37313,COMPLETED
IOS,49:27.0,14.55708,121.02119,14.5212,121.06217,Metro Manila,273.125,0.0930445,CANCELLED
IOS,48:43.0,14.55795,121.00376,14.55346,121.02249,Metro Manila,168.125,0.794649,COMPLETED
ADR,21:57.0,14.565287,121.028072,14.558852,121.023075,Metro Manila,159.375,2.39991,COMPLETED
IOS,22:04.0,14.57422,121.04198,14.58386,121.05712,Metro Manila,190,0.716697,CANCELLED
IOS,25:37.0,14.57781,121.00013,14.50977,121.01326,Metro Manila,299.375,3.65212,COMPLETED
VNU,46:56.0,14.549732,121.02677,14.554729,121.024445,Metro Manila,150.625,0.114531,COMPLETED
IOS,30:53.0,14.59066,121.03376,14.5608,121.01641,Metro Manila,268.75,0.943497,COMPLETED
IOS,09:56.0,14.6006,121.02797,14.60206,121.0485,Metro Manila,181.25,0.486294,COMPLETED
VNU,10:14.0,14.549732,121.02677,14.554729,121.024445,Metro Manila,150.625,0.270427,COMPLETED
IOS,21:01.0,14.61856,121.04269,14.54964,121.0514,Metro Manila,325.625,2.44104,COMPLETED
ADR,49:45.0,14.588377,121.063294,14.559256,121.018061,Metro Manila,264.375,0.221565,COMPLETED
IOS,04:05.0,14.61501,121.06313,14.63485,121.10389,Metro Manila,211.875,1.02054,COMPLETED
IOS,31:24.0,14.58257,121.05966,14.59964,121.0564,Metro Manila,181.25,0.254203,COMPLETED
IOS,08:42.0,14.58157,121.04734,14.58069,121.05537,Metro Manila,172.5,1.38649,COMPLETED
IOS,11:49.0,14.57216,121.02972,14.60769,121.0786,Metro Manila,233.75,0.481283,COMPLETED
VNU,04:36.0,14.549732,121.02677,14.676041,121.0437,Metro Manila,404.375,0.057063,COMPLETED
IOS,36:49.0,14.5974,121.02243,14.57825,121.05752,Metro Manila,203.125,1.6725,COMPLETED
ADR,19:04.0,14.652117,121.068297,14.642479,121.039349,Metro Manila,264.375,1.64267,CANCELLED
ADR,51:19.0,14.632334,121.060081,14.627761,121.034516,Metro Manila,181.25,2.10127,COMPLETED
IOS,11:04.0,14.57834,121.03293,14.58984,121.06055,Metro Manila,220.625,0.76908,COMPLETED
IOS,16:15.0,14.58962,121.06795,14.58147,121.06437,Metro Manila,168.125,3.14623,COMPLETED
ADR,55:09.0,14.588853,120.9967,14.560802,121.016413,Metro Manila,220.625,1.66257,COMPLETED
IOS,32:46.0,14.58948,121.06377,14.62388,121.06175,Metro Manila,211.875,1.83117,CANCELLED
IOS,08:37.0,14.572,121.03078,14.55808,121.02225,Metro Manila,176.875,1.70789,COMPLETED
IOS,12:04.0,14.6135,121.034,14.63454,121.03569,Metro Manila,172.5,1.20775,COMPLETED
IOS,16:42.0,14.61326,121.06033,14.65181,120.96584,Metro Manila,347.5,0.626356,COMPLETED
ADR,49:13.0,14.672876,121.059419,14.681922,121.04211,Metro Manila,181.25,2.10017,COMPLETED
IOS,11:30.0,14.56195,120.99358,14.5301,121.05384,Metro Manila,334.375,0.806738,COMPLETED
ADR,39:15.0,14.593057,121.038674,14.519562,121.013791,Metro Manila,325.625,1.67347,COMPLETED
IOS,24:59.0,14.55251,120.99497,14.58202,120.98288,Metro Manila,229.375,1.86801,COMPLETED
IOS,15:36.0,14.5322,121.0208,14.55282,121.02107,Metro Manila,198.75,3.09321,COMPLETED
ADR,39:12.0,14.572162,121.029725,14.640625,121.076505,Metro Manila,321.25,0.303037,COMPLETED
IOS,26:36.0,14.60659,120.99333,14.55574,121.02239,Metro Manila,264.375,0.69063,COMPLETED
ADR,13:56.0,14.616125,121.039244,14.637492,121.000898,Metro Manila,238.125,0.995822,COMPLETED
IOS,23:07.0,14.6159,121.09513,14.62045,121.05322,Metro Manila,255.625,1.7849,COMPLETED
VNU,30:43.0,14.549732,121.02677,14.554729,121.024445,Metro Manila,150.625,0.0690563,COMPLETED
IOS,14:17.0,14.58752,121.089,14.58725,121.06476,Metro Manila,207.5,1.02456,COMPLETED
IOS,13:59.0,14.57838,120.988,14.55056,121.01507,Metro Manila,220.625,0.168549,COMPLETED
IOS,46:53.0,14.541,121.028,14.58388,121.05693,Metro Manila,233.75,1.97373,COMPLETED
ADR,10:14.0,14.550646,121.026614,14.606622,120.97958,Metro Manila,316.875,0.0318716,CANCELLED
ADR,14:06.0,14.577805,121.062899,14.561158,121.022669,Metro Manila,238.125,1.74549,COMPLETED
ADR,49:20.0,14.586454,121.048871,14.621172,121.062944,Metro Manila,238.125,0.401772,COMPLETED
VNU,57:38.0,14.549732,121.02677,14.537751,121.001379,Metro Manila,185.625,1.42012,COMPLETED
ADR,57:29.0,14.540922,121.018642,14.654422,121.034945,Metro Manila,369.375,1.88936,COMPLETED
IOS,07:34.0,14.6535,121.03349,14.63848,121.07348,Metro Manila,242.5,0.22015,COMPLETED
ADR,07:28.0,14.554716,121.014457,14.426363,121.009233,Metro Manila,443.75,0.43311,COMPLETED
ADR,37:34.0,14.576061,121.050516,14.556418,121.017758,Metro Manila,238.125,0.57685,COMPLETED
IOS,54:04.0,14.58972,121.06154,14.58398,121.06323,Metro Manila,150.625,0.354453,CANCELLED
ADR,12:21.0,14.688088,121.04856,14.610046,120.989156,Metro Manila,338.75,0.976079,COMPLETED
IOS,12:02.0,14.55321,121.05063,14.58069,121.05537,Metro Manila,225,2.40892,COMPLETED
IOS,34:38.0,14.54251,121.04706,14.55001,121.04597,Metro Manila,155,1.34056,CANCELLED
IOS,35:09.0,14.57297,121.07715,14.54894,121.04692,Metro Manila,203.125,0.804426,COMPLETED
ADR,23:22.0,14.6025,121.026667,14.552473,121.018728,Metro Manila,246.875,2.67911,COMPLETED
ADR,33:21.0,14.554928,121.044277,14.558791,121.003286,Metro Manila,229.375,1.81032,CANCELLED
IOS,19:01.0,14.57457,121.00454,14.57172,121.04984,Metro Manila,295,0.975929,COMPLETED
