source,created_at_local,pick_up_latitude,pick_up_longitude,drop_off_latitude,drop_off_longitude,city,fare,pick_up_distance,state
IOS,37:54.0,14.5625,121.03066,14.58747,121.06115,Metro Manila,225,3.96246,COMPLETED
ADR,20:51.0,14.625231,121.050214,14.554073,121.048377,Metro Manila,290.625,0.483302,CANCELLED
IOS,05:22.0,14.66512,121.08081,14.55184,121.02194,Metro Manila,395.625,1.42963,CANCELLED
IOS,06:41.0,14.67002,121.04605,14.55542,121.01563,Metro Manila,404.375,1.30728,COMPLETED
ADR,17:45.0,14.5867,121.05977,14.549547,121.056075,Metro Manila,229.375,0.554729,COMPLETED
VNU,35:06.0,14.549732,121.02677,14.554729,121.024445,Metro Manila,150.625,0.332815,COMPLETED
IOS,13:22.0,14.63821,121.12269,14.5509,121.05358,Metro Manila,316.875,4.22748,COMPLETED
VNU,04:00.0,14.549732,121.02677,14.554729,121.024445,Metro Manila,155,0.646215,COMPLETED
IOS,42:31.0,14.54586,121.05375,14.52875,121.05791,Metro Manila,168.125,1.21408,CANCELLED
ADR,03:49.0,14.583865,121.057123,14.681537,121.079228,Metro Manila,360.625,2.41149,COMPLETED
IOS,23:51.0,14.5608,121.01641,14.64941,121.10108,Metro Manila,386.875,0.991414,COMPLETED
ADR,06:25.0,14.557645,121.010783,14.545862,121.053755,Metro Manila,211.875,0.632192,COMPLETED
IOS,24:17.0,14.59882,121.09775,14.55287,121.0517,Metro Manila,268.75,0.705635,COMPLETED
ADR,35:56.0,14.572162,121.029725,14.579559,121.045382,Metro Manila,168.125,1.23462,COMPLETED
IOS,05:32.0,14.61673,121.02722,14.60197,121.04967,Metro Manila,194.375,0.825193,COMPLETED
IOS,31:58.0,14.56785,121.02311,14.88148,120.86712,Metro Manila,811.25,0.087465,COMPLETED
ADR,31:54.0,14.561372,121.028523,14.551694,121.021796,Metro Manila,159.375,0.114763,COMPLETED
ADR,09:03.0,14.582952,121.105695,14.535058,120.982132,Metro Manila,347.5,3.38744,COMPLETED
ADR,21:38.0,14.580619,121.05526,14.553167,121.025722,Metro Manila,220.625,0.17798,COMPLETED
ADR,04:25.0,14.621725,121.080359,14.556656,121.024395,Metro Manila,321.25,1.71827,CANCELLED
ADR,28:10.0,14.50981,121.010752,14.787072,120.882397,Metro Manila,701.875,1.88273,COMPLETED
IOS,00:26.0,14.5721,121.07107,14.55809,121.01736,Metro Manila,260,2.16908,COMPLETED
IOS,49:24.0,14.5508,120.98705,14.56071,121.01748,Metro Manila,190,3.16837,COMPLETED
IOS,25:44.0,14.55589,121.0052,14.60254,120.98687,Metro Manila,220.625,1.29826,CANCELLED
ADR,38:49.0,14.558117,121.016979,14.436506,120.960384,Metro Manila,408.75,0.971561,COMPLETED
IOS,28:11.0,14.54644,121.0619,14.58321,121.0568,Metro Manila,238.125,0.419137,CANCELLED
ADR,48:23.0,14.575074,121.044081,14.557645,121.018771,Metro Manila,216.25,2.52691,CANCELLED
VNU,38:05.0,14.549732,121.02677,14.554729,121.024445,Metro Manila,150.625,0.21178,COMPLETED
ADR,50:41.0,14.59591,121.058677,14.586257,121.044265,Metro Manila,190,1.19535,CANCELLED
IOS,31:12.0,14.64818,121.02764,14.58553,121.03781,Metro Manila,343.125,1.30078,COMPLETED
IOS,24:25.0,14.57188,121.00279,14.52313,121.00093,Metro Manila,295,1.0373,COMPLETED
ADR,10:54.0,14.63498,121.06499,14.676041,121.0437,Metro Manila,268.75,2.6713,CANCELLED
IOS,45:54.0,14.57836,121.04758,14.55633,121.02124,Metro Manila,220.625,1.85412,COMPLETED
ADR,56:00.0,14.549732,121.02677,14.45,120.95,Metro Manila,382.5,0.635711,COMPLETED
IOS,20:24.0,14.55456,121.02388,14.54955,121.05608,Metro Manila,229.375,2.03299,COMPLETED
IOS,57:17.0,14.54789,121.02133,14.56709,121.01342,Metro Manila,172.5,1.62575,COMPLETED
IOS,43:53.0,14.66948,121.10835,14.56921,121.06016,Metro Manila,316.875,0.637416,COMPLETED
IOS,24:22.0,14.59925,121.10824,14.63821,121.12269,Metro Manila,242.5,3.25674,CANCELLED
IOS,04:23.0,14.64861,121.07167,14.66565,121.08224,Metro Manila,190,3.2945,CANCELLED
ADR,31:18.0,14.576274,121.070056,14.585812,121.060171,Metro Manila,176.875,1.52867,COMPLETED
IOS,16:26.0,14.55809,121.01736,14.56529,121.02807,Metro Manila,181.25,0.897371,COMPLETED
IOS,31:04.0,14.61605,121.05326,14.5867,121.06216,Metro Manila,190,0.312559,COMPLETED
ADR,09:39.0,14.560802,121.016413,14.629133,121.066349,Metro Manila,325.625,1.41669,CANCELLED
IOS,09:28.0,14.5282,121.0421,14.65749,121.05612,Metro Manila,443.75,1.12747,COMPLETED
IOS,53:28.0,14.60886,121.08001,14.46812,120.98096,Metro Manila,491.875,2.27394,COMPLETED
IOS,47:23.0,14.61003,121.09177,14.60769,121.0786,Metro Manila,176.875,1.14138,COMPLETED
IOS,24:37.0,14.55132,121.02541,14.56623,121.01024,Metro Manila,233.75,0.485066,COMPLETED
VNU,50:13.0,14.549732,121.02677,14.553065,121.024445,Metro Manila,155,0.33231,COMPLETED
VNU,14:08.0,14.549732,121.02677,14.537751,121.001379,Metro Manila,185.625,0.668469,CANCELLED
IOS,22:04.0,14.5761,121.03046,14.55851,121.01916,Metro Manila,190,0.708514,CANCELLED
IOS,38:13.0,14.54309,121.01327,14.55921,121.0176,Metro Manila,211.875,0.21462,COMPLETED
IOS,43:47.0,14.57216,121.02972,14.57956,121.04538,Metro Manila,172.5,1.86047,COMPLETED
ADR,00:02.0,14.582395,121.062987,14.625309,120.969724,Metro Manila,435,0.563722,COMPLETED
ADR,26:15.0,14.555015,121.017428,14.50549,121.004878,Metro Manila,277.5,0.54084,COMPLETED
IOS,33:01.0,14.61104,120.9802,14.60833,120.99102,Metro Manila,168.125,2.21018,CANCELLED
IOS,38:51.0,14.64275,121.05762,14.55261,121.02542,Metro Manila,343.125,1.06667,COMPLETED
IOS,16:34.0,14.53635,120.98495,14.4903,121.02108,Metro Manila,233.75,0.584112,COMPLETED
IOS,02:31.0,14.49346,121.04292,14.54999,121.04818,Metro Manila,273.125,1.17484,COMPLETED
ADR,54:35.0,14.465721,121.043702,14.552889,121.047089,Metro Manila,338.75,3.80831,CANCELLED
ADR,28:22.0,14.534746,121.038163,14.62746,121.038527,Metro Manila,386.875,1.94818,COMPLETED
IOS,36:10.0,14.48802,121.04442,14.55857,121.02568,Metro Manila,281.875,1.53968,COMPLETED
ADR,20:47.0,14.587596,121.060232,14.572133,121.015579,Metro Manila,260,1.24228,CANCELLED
ADR,52:33.0,14.558159,121.018272,14.554672,121.050665,Metro Manila,190,0.248744,COMPLETED
IOS,18:56.0,14.57954,120.98492,14.60895,120.99305,Metro Manila,203.125,3.23484,COMPLETED
IOS,46:33.0,14.64283,121.05113,14.57401,121.04779,Metro Manila,268.75,0.259912,COMPLETED
ADR,24:11.0,14.549529,121.063558,14.549287,121.04624,Metro Manila,168.125,0.773175,COMPLETED
IOS,29:26.0,14.56008,121.02084,14.64307,121.03768,Metro Manila,343.125,1.26787,COMPLETED
IOS,38:29.0,14.61811,121.05629,14.61459,121.06172,Metro Manila,155,0.629705,CANCELLED
ADR,10:15.0,14.551284,121.016912,14.557589,121.022996,Metro Manila,155,0.255674,CANCELLED
ADR,59:16.0,14.543135,121.011761,14.560051,121.020484,Metro Manila,172.5,1.51238,COMPLETED
IOS,32:39.0,14.56308,121.01476,14.62554,121.04837,Metro Manila,321.25,0.422137,CANCELLED
IOS,16:05.0,14.57087,121.00432,14.56363,121.02878,Metro Manila,190,1.3596,COMPLETED
ADR,48:30.0,14.57302,121.077087,14.519546,121.013797,Metro Manila,334.375,1.8725,COMPLETED
ADR,41:58.0,14.55778,121.097133,14.59549,121.080008,Metro Manila,229.375,2.97858,COMPLETED
IOS,52:13.0,14.52454,121.04382,14.63759,121.01255,Metro Manila,413.125,0.193769,COMPLETED
ADR,00:29.0,14.580188,121.03282,14.553584,121.048114,Metro Manila,190,2.89357,CANCELLED
IOS,39:46.0,14.55184,121.02194,14.48068,121.03049,Metro Manila,255.625,0.41275,COMPLETED
IOS,13:37.0,14.6519,121.01797,14.60557,120.99321,Metro Manila,233.75,1.78548,CANCELLED
IOS,04:39.0,14.58202,120.98288,14.55862,121.00598,Metro Manila,203.125,0.946427,COMPLETED
IOS,25:06.0,14.56189,121.0113,14.56506,121.0362,Metro Manila,181.25,0.918325,COMPLETED
IOS,20:09.0,14.56547,121.0164,14.55,121.03333,Metro Manila,190,1.32104,COMPLETED
IOS,16:45.0,14.55467,121.05066,14.55713,121.01057,Metro Manila,238.125,1.47831,COMPLETED
ADR,30:59.0,14.559804,121.00095,14.564337,120.99645,Metro Manila,155,1.7326,COMPLETED
IOS,13:58.0,14.55378,121.04582,14.55648,121.02229,Metro Manila,198.75,0.412586,CANCELLED
IOS,50:39.0,14.5907,121.06099,14.57733,121.05956,Metro Manila,172.5,0.511693,CANCELLED
IOS,01:09.0,14.57018,121.02594,14.52447,121.00108,Metro Manila,277.5,0.994683,COMPLETED
ADR,59:36.0,14.677405,121.014012,14.64413,121.048379,Metro Manila,255.625,1.28825,CANCELLED
IOS,42:08.0,14.64922,121.07907,14.64628,121.05093,Metro Manila,198.75,0.199974,COMPLETED
VNU,33:13.0,14.549732,121.02677,14.479309,121.019822,Metro Manila,316.875,0.156714,COMPLETED
ADR,19:04.0,14.630018,121.037631,14.527456,121.006189,Metro Manila,369.375,3.29586,COMPLETED
IOS,23:43.0,14.55408,121.04588,14.55723,121.02175,Metro Manila,190,0.225694,COMPLETED
VNU,01:43.0,14.549732,121.02677,14.479309,121.019822,Metro Manila,255.625,1.47723,COMPLETED
IOS,05:21.0,14.55396,121.04448,14.56229,121.03078,Metro Manila,190,1.35152,COMPLETED
ADR,27:40.0,14.574889,121.121275,14.58296,121.057459,Metro Manila,242.5,1.88642,COMPLETED
IOS,32:34.0,14.55305,121.01968,14.5633,121.0354,Metro Manila,198.75,0.208306,COMPLETED
IOS,58:43.0,14.61669,121.03917,14.6932,121.09346,Metro Manila,338.75,0.921724,COMPLETED
IOS,55:40.0,14.54971,121.05083,14.62045,121.05322,Metro Manila,281.875,0.647238,CANCELLED
VNU,16:29.0,14.549732,121.02677,14.537751,121.001379,Metro Manila,185.625,0.215276,COMPLETED
ADR,32:37.0,14.542045,121.055547,14.550929,121.050986,Metro Manila,163.75,0.657404,COMPLETED
IOS,13:03.0,14.60837,121.07075,14.50969,121.0128,Metro Manila,386.875,1.16276,COMPLETED
ADR,38:14.0,14.608435,121.026225,14.551315,121.025412,Metro Manila,233.75,0.405668,CANCELLED
ADR,02:18.0,14.488649,121.040786,14.582436,120.985511,Metro Manila,316.875,0.569904,CANCELLED
IOS,48:25.0,14.58116,121.05505,14.62835,121.0547,Metro Manila,238.125,0.350984,COMPLETED
IOS,11:41.0,14.51758,121.05735,14.57216,121.02972,Metro Manila,316.875,2.96774,COMPLETED
IOS,46:34.0,14.58643,121.06136,14.60783,121.08025,Metro Manila,185.625,1.00964,COMPLETED
ADR,41:59.0,14.586257,121.044265,14.596252,121.058958,Metro Manila,238.125,0.928889,COMPLETED
ADR,53:40.0,14.570399,121.023515,14.554169,121.023597,Metro Manila,190,1.10936,COMPLETED
IOS,25:15.0,14.58752,121.08152,14.55481,121.04763,Metro Manila,233.75,0.750924,COMPLETED
ADR,43:10.0,14.488649,121.040786,14.486973,121.043361,Metro Manila,146.25,1.27265,COMPLETED
VNU,28:17.0,14.549732,121.02677,14.479309,121.019822,Metro Manila,316.875,0.30092,CANCELLED
ADR,19:57.0,14.5529,121.022,14.567089,121.013423,Metro Manila,176.875,1.08035,COMPLETED
IOS,00:24.0,14.63485,121.05196,14.56,121.03152,Metro Manila,312.5,0.742405,COMPLETED
IOS,11:25.0,14.57931,121.04729,14.57022,121.02187,Metro Manila,207.5,1.88578,CANCELLED
IOS,58:46.0,14.66796,121.0736,14.52182,121.01302,Metro Manila,465.625,2.74837,COMPLETED
VNU,38:43.0,14.549732,121.02677,14.554729,121.024445,Metro Manila,150.625,0.474528,COMPLETED
VNU,42:03.0,14.549732,121.02677,14.517618,121.050864,Metro Manila,242.5,0.399693,COMPLETED
IOS,20:41.0,14.59024,120.98305,14.55261,121.02542,Metro Manila,260,0.813389,COMPLETED
IOS,50:56.0,14.58714,121.06369,14.56947,121.10981,Metro Manila,251.25,1.68353,COMPLETED
IOS,41:27.0,14.5761,121.03046,14.55851,121.01916,Metro Manila,190,1.66895,CANCELLED
IOS,06:08.0,14.55324,121.04644,14.63134,121.05222,Metro Manila,303.75,0.323552,COMPLETED
ADR,43:40.0,14.639479,121.061493,14.557872,121.018431,Metro Manila,369.375,1.80247,COMPLETED
VNU,27:10.0,14.549732,121.02677,14.554729,121.024445,Metro Manila,150.625,1.30215,COMPLETED
IOS,34:13.0,14.55535,121.01982,14.46539,121.01863,Metro Manila,378.125,1.48517,COMPLETED
VNU,36:24.0,14.549732,121.02677,14.549547,121.056075,Metro Manila,203.125,0.0587888,COMPLETED
VNU,11:18.0,14.549732,121.02677,14.554729,121.024445,Metro Manila,150.625,0.352421,COMPLETED
VNU,55:25.0,14.549732,121.02677,14.479309,121.019822,Metro Manila,255.625,0.0337978,COMPLETED
IOS,51:59.0,14.49217,121.04259,14.58388,121.05693,Metro Manila,290.625,0.46062,COMPLETED
VNU,00:10.0,14.549732,121.02677,14.599512,120.984219,Metro Manila,242.5,1.4912,COMPLETED
IOS,23:40.0,14.55477,121.024,14.55937,121.01455,Metro Manila,0,,UNALLOCATED
IOS,22:40.0,14.55348,121.01484,14.58232,121.07292,Metro Manila,0,,UNALLOCATED
IOS,01:35.0,14.60341,121.09271,14.54976,121.05273,Metro Manila,0,,UNALLOCATED
IOS,55:50.0,14.55191,121.04551,14.58584,121.05929,Metro Manila,0,,UNALLOCATED
IOS,40:13.0,14.56014,121.01682,14.57325,120.99948,Metro Manila,0,,UNALLOCATED
IOS,53:36.0,14.60912,121.09202,14.60769,121.0786,Metro Manila,0,,UNALLOCATED
ADR,33:08.0,14.58736,120.972865,14.558616,121.005979,Metro Manila,0,,UNALLOCATED
IOS,17:04.0,14.58244,121.05195,14.5308,121.07274,Metro Manila,0,,UNALLOCATED
ADR,58:48.0,14.486955,121.043109,14.468986,121.056041,Metro Manila,0,,UNALLOCATED
IOS,23:17.0,14.57794,121.04229,14.55633,121.02124,Metro Manila,0,,UNALLOCATED
IOS,30:51.0,14.59853,121.03762,14.5637,120.99517,Metro Manila,0,,UNALLOCATED
ADR,10:57.0,14.558493,121.056913,14.484117,120.992024,Metro Manila,0,,UNALLOCATED
IOS,29:14.0,14.57417,121.02119,14.55472,121.01446,Metro Manila,0,,UNALLOCATED
IOS,41:47.0,14.58398,121.06323,14.58906,121.06999,Metro Manila,0,,UNALLOCATED
IOS,19:22.0,14.55358,121.04811,14.62303,120.99956,Metro Manila,0,,UNALLOCATED
ADR,50:05.0,14.551284,121.016912,14.543135,121.011761,Metro Manila,0,,UNALLOCATED
IOS,20:39.0,14.59951,120.98422,14.55921,121.0176,Metro Manila,0,,UNALLOCATED
ADR,15:46.0,14.615011,121.095273,14.552007,121.051264,Metro Manila,0,,UNALLOCATED
ADR,28:03.0,14.549913,121.025798,14.543135,121.011761,Metro Manila,0,,UNALLOCATED
ADR,57:39.0,14.583209,121.056804,14.554729,121.024445,Metro Manila,0,,UNALLOCATED
IOS,33:33.0,14.41797,121.04397,14.56435,121.02933,Metro Manila,0,,UNALLOCATED
IOS,19:33.0,14.61342,121.05701,14.6099,121.0809,Metro Manila,0,,UNALLOCATED
IOS,44:29.0,14.56345,121.03837,14.55485,121.02545,Metro Manila,0,,UNALLOCATED